GENE	BF
ADAMTSL4	4.377
ADAMTSL5	-9.091
ADAP1	-14.914
ADAP2	-15.664
ADAR	-4.594
ADARB1	-16.206
ADARB2	-11.708
ADAT1	-11.406
ADAT2	0.186
ADAT3	-9.450
ADCK1	-4.251
ADCK2	-15.272
ADCK5	-9.208
ADCY1	-9.731
ADCY10	-11.236
ADCY2	-15.390
ADCY3	-4.488
ADCY4	-8.974
ADCY5	-4.836
ADCY6	-8.162
ADCY7	-13.482
ADCY8	-18.137
ADCY9	-12.226
ADCYAP1	-14.800
ADCYAP1R1	-7.953
ADD1	-8.421
ADD2	-2.228
ADD3	-12.445
ADGB	-19.103
ADGRA1	-15.813
ADGRA2	-9.284
ADGRA3	-10.069
ADGRB1	-3.797
ADGRB2	-21.939
ADGRB3	-9.262
ADGRD1	-5.690
ADGRD2	-5.680
ADGRE1	-13.479
ADGRE2	-16.670
ADGRE3	-15.009
ADGRE5	-11.137
ADGRF1	-8.766
ADGRF2	-8.385
ADGRF3	-10.808
ADGRF4	-13.209
ADGRF5	-9.495
ADGRG1	-8.169
ADGRG2	-10.723
ADGRG3	-14.599
ADGRG4	-14.999
ADGRG5	-14.749
ADGRG6	-9.600
ADGRG7	-14.665
ADGRL1	-7.936
ADGRL2	-17.060
ADGRL3	-9.096
ADGRL4	-10.735
ADGRV1	-15.792
ADH1A	-9.343
ADH1B	-12.402
ADH1C	-11.874
ADH4	-13.526
ADH5	-14.691
ADH6	-2.835
ADH7	-6.916
ADHFE1	-7.824
ADI1	-9.761
ADIG	-3.862
ADIPOQ	-8.951
ADIPOR1	-9.602
ADIPOR2	-11.831
ADIRF	-4.804
ADK	-12.218
ADM	-12.030
ADM2	-13.744
ADM5	-12.568
ADNP	-16.609
ADNP2	-12.491
ADO	-8.433
ADORA1	-8.738
ADORA2A	-9.131
ADORA2B	-7.074
ADORA3	-13.627
ADPGK	-8.888
ADPRH	-4.415
ADPRHL1	-13.334
ADPRHL2	-12.637
ADPRM	-9.385
ADRA1A	-10.725
ADRA1B	-12.605
ADRA1D	-13.802
ADRA2A	-8.454
ADRA2B	-10.051
ADRA2C	-10.266
ADRB1	-15.566
ADRB2	-11.085
ADRB3	-9.264
ADRM1	-3.125
ADSL	45.720
ADSS1	-3.466
ADSS2	7.254
ADTRP	-15.209
AEBP1	-5.873
AEBP2	-11.552
AEN	-10.097
AFAP1	-11.350
AFAP1L1	-5.964
AFAP1L2	-7.273
AFDN	-16.272
AFF1	-6.032
AFF2	-17.117
AFF3	-15.696
AFF4	-4.815
AFG1L	-11.611
AFG3L2	21.994
AFM	-13.059
AFMID	-9.214
AFP	-14.705
AFTPH	-11.192
AGA	-17.258
AGAP1	-13.203
AGAP2	-9.447
AGAP3	-11.919
AGAP5	-1.824
AGAP6	-10.440
AGAP9	-6.683
AGBL1	-6.150
AGBL2	-8.808
AGBL3	-9.813
AGBL4	-18.865
AGBL5	-8.868
AGER	-11.276
AGFG1	-8.798
AGFG2	-2.544
AGGF1	-9.010
AGK	-5.079
AGL	-14.726
AGMAT	-11.558
AGMO	-6.214
AGO1	-15.275
AGO2	-9.251
AGO3	-15.274
AGO4	-8.715
AGPAT1	-12.739
AGPAT2	0.226
AGPAT3	-16.271
AGPAT4	-16.201
AGPAT5	-16.547
AGPS	-6.714
AGR2	-11.901
AGR3	-16.684
AGRN	-9.170
AGRP	-12.478
AGT	-1.978
AGTPBP1	-14.461
AGTR1	-13.058
AGTR2	-14.571
AGTRAP	-9.167
AGXT	-12.212
AGXT2	-15.174
AHCTF1	2.135
AHCY	25.986
AHCYL1	-2.675
AHCYL2	-8.673
AHDC1	-15.954
AHI1	-11.869
AHNAK	-14.367
AHNAK2	-7.702
AHR	32.862
AHRR	-14.091
AHSA1	-7.625
AHSG	-8.649
AHSP	-11.573
AICDA	-11.103
AIDA	-6.442
AIF1	-6.660
AIF1L	-8.518
AIFM1	31.206
AIFM2	-10.017
AIFM3	-5.335
AIG1	-10.173
AIM2	-14.603
AIMP1	-20.852
AIMP2	-11.928
AIP	0.648
AIPL1	-9.784
AIRE	-11.528
AJAP1	-9.117
AJM1	-6.012
AJUBA	-0.061
AK1	-8.200
AK2	-16.057
AK3	-17.791
AK4	-20.574
AK5	-14.542
AK6	37.615
AK7	-9.729
AK8	-20.603
AK9	-6.338
AKAIN1	-14.603
AKAP1	-8.115
AKAP10	-8.346
AKAP11	-11.629
AKAP12	-8.866
AKAP13	-15.199
AKAP14	-9.908
AKAP17A	-12.290
AKAP2	-13.390
AKAP3	-12.159
AKAP4	-16.287
AKAP5	-14.065
AKAP6	0.063
AKAP7	-8.362
AKAP8	-13.811
AKAP8L	-10.267
AKAP9	-9.729
AKIP1	-8.166
AKIRIN1	-12.375
AKIRIN2	3.252
AKNA	-4.618
AKNAD1	-12.244
AKR1A1	-14.482
AKR1B1	-4.805
AKR1B10	-11.423
AKR1B15	-13.541
AKR1C1	-6.859
AKR1C2	-18.030
AKR1C3	-14.886
AKR1C4	-11.649
AKR1D1	-7.548
AKR1E2	-11.351
AKR7A2	-15.430
AKR7A3	-9.764
AKT1	-4.180
AKT1S1	-8.577
AKT2	-9.044
AKT3	-4.580
AKTIP	-9.520
ALAD	11.853
ALAS1	4.312
ALAS2	-10.383
ALB	-16.298
ALCAM	-11.185
ALDH16A1	-10.723
ALDH18A1	-10.657
ALDH1A1	-3.969
ALDH1A2	-9.282
ALDH1A3	-10.500
ALDH1B1	-7.380
ALDH1L1	-0.454
ALDH1L2	-5.156
ALDH2	-11.999
ALDH3A1	-9.179
ALDH3A2	-17.134
ALDH3B1	-8.147
ALDH3B2	-6.751
ALDH4A1	-9.266
ALDH5A1	-10.289
ALDH6A1	-11.630
ALDH7A1	-9.798
ALDH8A1	-6.660
ALDH9A1	-11.686
ALDOA	3.269
ALDOB	-18.714
ALDOC	-6.529
ALG1	17.458
ALG10	-15.138
ALG10B	-13.245
ALG11	7.847
ALG12	-11.957
ALG13	2.244
ALG14	36.090
ALG1L	0.344
ALG1L2	-5.217
