GENE	BF
ADAMTSL4	3.189
ADAMTSL5	-8.076
ADAP1	-9.123
ADAP2	-7.119
ADAR	-5.218
ADARB1	-11.638
ADARB2	-7.688
ADAT1	-8.296
ADAT2	-0.212
ADAT3	-6.599
ADCK1	-2.404
ADCK2	-14.270
ADCK5	-2.636
ADCY1	-9.245
ADCY10	-6.018
ADCY2	-9.969
ADCY3	-1.492
ADCY4	-4.157
ADCY5	-5.648
ADCY6	-6.982
ADCY7	-6.252
ADCY8	-9.044
ADCY9	-7.916
ADCYAP1	-10.467
ADCYAP1R1	-8.426
ADD1	-11.218
ADD2	-0.473
ADD3	-7.974
ADGB	-16.814
ADGRA1	-11.922
ADGRA2	-7.530
ADGRA3	-8.576
ADGRB1	-1.214
ADGRB2	-11.870
ADGRB3	-8.706
ADGRD1	-3.404
ADGRD2	-1.475
ADGRE1	-3.185
ADGRE2	-13.156
ADGRE3	-10.726
ADGRE5	-7.490
ADGRF1	-6.198
ADGRF2	-4.292
ADGRF3	-7.564
ADGRF4	-4.988
ADGRF5	-2.943
ADGRG1	-6.697
ADGRG2	-10.183
ADGRG3	-7.676
ADGRG4	-6.204
ADGRG5	-13.926
ADGRG6	-7.274
ADGRG7	-11.641
ADGRL1	-4.756
ADGRL2	-9.301
ADGRL3	-3.292
ADGRL4	-2.423
ADGRV1	-12.451
ADH1A	-10.245
ADH1B	-10.082
ADH1C	-7.622
ADH4	-9.341
ADH5	-8.288
ADH6	-2.316
ADH7	-11.064
ADHFE1	-4.888
ADI1	-6.448
ADIG	-3.959
ADIPOQ	-8.694
ADIPOR1	-8.615
ADIPOR2	-7.946
ADIRF	-1.897
ADK	-9.686
ADM	-10.827
ADM2	-10.005
ADM5	-11.684
ADNP	-11.409
ADNP2	-5.877
ADO	-4.942
ADORA1	-5.374
ADORA2A	-4.860
ADORA2B	-3.183
ADORA3	-4.951
ADPGK	-2.631
ADPRH	-4.149
ADPRHL1	-14.482
ADPRHL2	-5.686
ADPRM	-8.863
ADRA1A	-9.618
ADRA1B	-3.030
ADRA1D	-12.663
ADRA2A	-6.590
ADRA2B	-7.110
ADRA2C	-9.217
ADRB1	-7.434
ADRB2	-5.889
ADRB3	-5.459
ADRM1	-2.057
ADSL	23.047
ADSS1	0.605
ADSS2	13.666
ADTRP	-8.099
AEBP1	-5.771
AEBP2	-8.374
AEN	-9.052
AFAP1	-1.585
AFAP1L1	-6.199
AFAP1L2	-10.635
AFDN	-4.515
AFF1	-6.590
AFF2	-13.631
AFF3	-9.710
AFF4	-3.859
AFG1L	-7.253
AFG3L2	16.777
AFM	-13.022
AFMID	-7.238
AFP	-11.797
AFTPH	-8.778
AGA	-11.322
AGAP1	-13.330
AGAP2	-8.444
AGAP3	-9.896
AGAP5	-4.688
AGAP6	-6.519
AGAP9	-2.281
AGBL1	-7.231
AGBL2	-8.908
AGBL3	-10.100
AGBL4	-13.902
AGBL5	-2.848
AGER	-6.310
AGFG1	-5.101
AGFG2	-3.208
AGGF1	-7.184
AGK	-7.915
AGL	-9.736
AGMAT	-6.811
AGMO	-8.819
AGO1	-9.859
AGO2	-1.449
AGO3	-9.610
AGO4	-3.974
AGPAT1	-6.940
AGPAT2	-2.342
AGPAT3	-10.900
AGPAT4	-11.648
AGPAT5	-10.850
AGPS	-5.171
AGR2	-9.823
AGR3	-8.623
AGRN	-9.145
AGRP	-7.754
AGT	1.028
AGTPBP1	-12.243
AGTR1	-7.286
AGTR2	-8.059
AGTRAP	-6.525
AGXT	-10.984
AGXT2	-12.798
AHCTF1	2.192
AHCY	7.501
AHCYL1	-6.326
AHCYL2	-5.056
AHDC1	-11.429
AHI1	-7.700
AHNAK	-9.388
AHNAK2	-5.488
AHR	18.252
AHRR	-10.134
AHSA1	-9.709
AHSG	-9.709
AHSP	-8.472
AICDA	-9.950
AIDA	-9.325
AIF1	-2.568
AIF1L	-5.287
AIFM1	20.006
AIFM2	-7.322
AIFM3	-2.653
AIG1	-3.772
AIM2	-9.391
AIMP1	-13.841
AIMP2	-8.379
AIP	-2.758
AIPL1	-10.371
AIRE	-8.718
AJAP1	-7.066
AJM1	-2.595
AJUBA	-2.142
AK1	-1.015
AK2	-9.159
AK3	-11.364
AK4	-8.588
AK5	-8.811
AK6	20.105
AK7	-5.171
AK8	-14.428
AK9	-4.457
AKAIN1	-8.879
AKAP1	-1.651
AKAP10	-8.001
AKAP11	-7.963
AKAP12	-3.154
AKAP13	-11.614
AKAP14	-6.175
AKAP17A	-12.883
AKAP2	-9.799
AKAP3	-10.320
AKAP4	-10.343
AKAP5	-10.860
AKAP6	1.645
AKAP7	-5.987
AKAP8	-9.113
AKAP8L	-8.546
AKAP9	-8.749
AKIP1	-7.072
AKIRIN1	-7.700
AKIRIN2	4.714
AKNA	-3.173
AKNAD1	-7.945
AKR1A1	-9.419
AKR1B1	-4.572
AKR1B10	-8.707
AKR1B15	-7.831
AKR1C1	-7.527
AKR1C2	-14.738
AKR1C3	-10.351
AKR1C4	-6.822
AKR1D1	-6.537
AKR1E2	-14.488
AKR7A2	-11.316
AKR7A3	-8.071
AKT1	-2.064
AKT1S1	-6.396
AKT2	-6.128
AKT3	-5.122
AKTIP	-6.994
ALAD	4.211
ALAS1	5.354
ALAS2	-3.133
ALB	-10.640
ALCAM	-8.722
ALDH16A1	-7.588
ALDH18A1	-7.386
ALDH1A1	-4.481
ALDH1A2	-8.557
ALDH1A3	-7.921
ALDH1B1	-7.744
ALDH1L1	-6.181
ALDH1L2	-1.852
ALDH2	-9.221
ALDH3A1	-11.094
ALDH3A2	-15.818
ALDH3B1	-7.799
ALDH3B2	-4.914
ALDH4A1	-8.648
ALDH5A1	-7.410
ALDH6A1	-11.171
ALDH7A1	-5.719
ALDH8A1	-9.310
ALDH9A1	-8.786
ALDOA	-0.156
ALDOB	-9.945
ALDOC	-1.405
ALG1	-1.546
ALG10	-12.445
ALG10B	-12.121
ALG11	1.407
ALG12	-11.659
ALG13	1.540
ALG14	16.313
ALG1L	-1.306
ALG1L2	-0.698
ALG2	27.818
ALG3	-8.641
ALG5	-4.462
ALG6	-6.715
ALG8	-2.997
ALG9	-7.648
ALK	-5.776
ALKAL1	-2.672
ALKAL2	-10.330
ALKBH1	-5.445
ALKBH2	-3.743
ALKBH3	-7.378
ALKBH4	1.296
ALKBH5	-5.958
ALKBH6	-9.109
ALKBH7	-6.697
ALKBH8	-5.972
ALLC	-7.378
ALMS1	-7.707
ALOX12	-9.001
ALOX12B	0.052
ALOX15	-11.358
ALOX15B	-8.295
ALOX5	-2.414
ALOX5AP	-9.769
ALOXE3	-5.224
ALPG	-3.751
ALPI	-9.462
ALPK1	-3.643
ALPK2	-10.643
ALPK3	-3.841
ALPL	-1.418
ALPP	-9.957
ALS2	-12.089
ALS2CL	-1.461
ALX1	-11.027
ALX3	-6.347
ALX4	-1.278
ALYREF	4.922
AMACR	-10.927
AMBN	-3.641
AMBP	-5.793
AMBRA1	-9.070
AMD1	3.147
AMDHD1	-14.369
AMDHD2	-11.160
AMELX	-9.032
AMELY	-10.545
AMER1	2.875
AMER2	-6.727
AMER3	-2.671
AMFR	-9.103
AMH	-13.175
AMHR2	-4.312
AMIGO1	-13.967
AMIGO2	-8.561
AMIGO3	-7.975
AMMECR1	-4.575
AMMECR1L	-8.770
AMN	-6.459
AMN1	-10.666
AMOT	-13.263
AMOTL1	-3.202
AMOTL2	-6.831
AMPD1	-10.991
AMPD2	-8.035
AMPD3	-8.550
AMPH	-7.674
AMT	-1.667
AMTN	-12.588
AMY1B	-1.968
AMY2A	-1.789
AMY2B	-6.063
AMZ1	-0.996
AMZ2	-4.259
ANAPC1	5.412
ANAPC10	19.226
ANAPC11	14.929
ANAPC13	-1.406
ANAPC15	-9.430
ANAPC16	-4.881
ANAPC2	3.374
ANAPC4	38.831
ANAPC5	10.335
ANAPC7	-11.394
ANG	-5.065
ANGEL1	-6.082
ANGEL2	-6.883
ANGPT1	-5.534
ANGPT2	-4.982
ANGPT4	-15.370
ANGPTL1	-9.427
ANGPTL2	-9.191
ANGPTL3	-12.751
ANGPTL4	-9.088
ANGPTL5	-13.275
ANGPTL6	1.125
ANGPTL7	-4.776
ANGPTL8	-13.122
ANHX	-11.172
ANK1	-7.892
ANK2	-4.744
ANK3	-9.939
ANKAR	-8.706
ANKDD1A	-8.248
ANKDD1B	-9.609
ANKEF1	-2.696
ANKFN1	-6.223
ANKFY1	-8.463
ANKH	-6.970
ANKHD1	-4.840
ANKIB1	-11.399
ANKK1	-9.397
ANKLE1	-6.259
ANKLE2	1.903
ANKMY1	-5.275
ANKMY2	-10.884
ANKRA2	-10.380
ANKRD1	-10.809
ANKRD10	-14.142
ANKRD11	-10.770
ANKRD12	-10.779
ANKRD13A	-8.707
ANKRD13B	-0.775
ANKRD13C	-16.129
ANKRD13D	-8.292
ANKRD16	-8.183
ANKRD17	-5.853
ANKRD18A	-9.907
ANKRD18B	-5.917
ANKRD2	-7.089
ANKRD20A2	3.911
ANKRD22	-4.978
ANKRD23	-8.111
ANKRD24	-6.451
ANKRD26	-7.313
ANKRD27	-9.816
ANKRD28	-10.588
ANKRD29	-6.278
ANKRD30A	-15.776
ANKRD30B	-15.293
ANKRD31	-8.396
ANKRD33	-2.398
ANKRD33B	-6.139
ANKRD34A	-6.469
ANKRD34B	-8.278
ANKRD34C	-9.342
ANKRD35	-10.253
ANKRD36	-8.006
ANKRD36B	-8.374
ANKRD36C	-0.122
ANKRD37	-12.269
ANKRD39	-2.130
ANKRD40	-3.473
ANKRD42	-10.212
ANKRD44	-9.055
ANKRD45	-16.714
ANKRD46	-13.232
ANKRD49	-9.328
ANKRD50	-15.110
ANKRD52	-8.081
ANKRD53	-7.700
ANKRD54	-5.706
ANKRD55	-4.235
ANKRD6	-6.472
ANKRD60	-3.346
ANKRD61	-11.020
ANKRD62	-8.962
ANKRD63	-13.742
ANKRD65	-6.149
ANKRD66	-11.678
ANKRD7	-5.270
ANKRD9	-5.689
ANKS1A	-4.403
ANKS1B	-8.240
ANKS3	-10.148
ANKS4B	-3.176
ANKS6	-11.697
ANKUB1	-6.701
ANKZF1	-8.158
ANLN	8.922
ANO1	-8.897
ANO10	-7.574
ANO2	-14.770
ANO3	-9.719
ANO4	-14.202
ANO5	-8.869
ANO6	-6.187
ANO7	-6.715
ANO8	-6.032
ANO9	-9.886
ANOS1	-9.573
ANP32A	-2.636
ANP32B	-6.290
ANP32D	-13.227
ANP32E	-1.641
ANPEP	-2.201
ANTKMT	-9.984
ANTXR1	-9.115
ANTXR2	-5.097
ANTXRL	-8.559
ANXA1	-9.804
ANXA10	-7.569
ANXA11	-8.657
ANXA13	-8.891
ANXA2	-7.567
ANXA2R	-4.080
ANXA3	-10.129
ANXA4	-10.049
ANXA5	-8.609
ANXA6	-10.159
ANXA7	-7.557
ANXA8	-15.568
ANXA8L1	-6.784
ANXA9	-0.227
AOAH	-10.371
AOC1	-14.250
AOC2	-1.473
AOC3	-4.700
AOPEP	-5.610
AOX1	-11.661
AP1AR	-9.278
AP1B1	-5.308
AP1G1	-4.632
AP1G2	-3.112
AP1M1	-3.438
AP1M2	-2.624
AP1S1	-8.206
AP1S2	0.539
AP1S3	-3.239
AP2A1	-6.650
AP2A2	-8.380
AP2B1	-2.050
AP2M1	-5.635
AP2S1	-5.253
AP3B1	-1.136
AP3B2	0.735
AP3D1	-12.027
AP3M1	-9.126
AP3M2	-6.429
AP3S1	-2.341
AP3S2	-3.159
AP4B1	-14.290
AP4E1	1.589
AP4M1	-4.453
AP4S1	-6.115
AP5B1	-3.551
AP5M1	-9.835
AP5S1	-11.412
AP5Z1	-6.609
APAF1	-9.373
APBA1	-9.510
APBA2	-3.919
APBA3	-5.385
APBB1	-7.505
APBB1IP	-11.705
APBB2	-12.079
APBB3	-11.581
APC	-8.911
APC2	-8.635
APCDD1	-8.213
APCDD1L	-7.275
APCS	-11.123
APEH	-6.591
APELA	-12.626
APEX1	-5.511
APEX2	-0.443
APH1A	-10.226
APH1B	-3.834
API5	-4.120
APIP	-0.617
APLF	-6.919
APLN	-5.430
APLNR	-5.770
APLP1	-3.176
APLP2	-12.305
APMAP	-7.886
APOA1	-2.686
APOA2	-6.769
APOA4	-10.446
APOA5	-5.552
APOB	-12.219
APOBEC1	-5.073
APOBEC2	-9.716
APOBEC3A	-3.934
APOBEC3B	-4.366
APOBEC3C	-11.299
APOBEC3D	-10.371
APOBEC3F	-3.739
APOBEC3G	-7.225
APOBEC3H	-6.770
APOBEC4	-3.578
APOBR	-7.969
APOC1	0.089
APOC2	-12.407
APOC3	-7.289
APOC4	-9.369
APOD	2.226
APOE	-9.205
APOF	-5.331
APOH	-7.646
APOL1	-9.405
APOL2	-5.984
APOL3	-4.175
APOL4	-11.896
APOL5	-9.419
APOL6	-6.003
APOLD1	-5.134
APOM	-10.589
APOO	-8.462
APOOL	-8.909
APP	-11.028
APPBP2	-7.855
APPL1	-8.099
APPL2	-6.617
APRT	-8.824
APTX	-11.126
AQP1	-5.903
AQP10	-8.405
AQP11	-0.891
AQP12A	-7.333
AQP12B	-9.811
AQP2	-12.743
AQP3	-5.414
AQP4	-6.239
AQP5	-5.563
AQP6	-3.977
AQP7	-9.156
AQP8	-6.729
AQP9	-5.152
AQR	11.688
AR	-12.406
ARAF	-8.492
