GENE	BF
ADAMTSL3	-4.892
ADAMTSL4	-9.986
ADAMTSL5	-2.932
ADAP1	-6.282
ADAP2	-9.243
ADAR	-0.705
ADARB1	-9.955
ADARB2	-6.138
ADAT1	-5.085
ADAT2	-6.973
ADAT3	-6.176
ADCK1	-8.169
ADCK2	-5.628
ADCK5	-2.051
ADCY1	-3.023
ADCY10	-6.894
ADCY2	-8.536
ADCY3	-6.619
ADCY4	-9.129
ADCY5	-10.520
ADCY6	-7.912
ADCY7	-7.409
ADCY8	-8.687
ADCY9	-7.724
ADCYAP1	-5.939
ADCYAP1R1	-8.741
ADD1	-3.065
ADD2	-6.849
ADD3	-5.154
ADGB	-17.420
ADGRA1	-0.809
ADGRA2	-6.730
ADGRA3	-1.825
ADGRB1	-13.294
ADGRB2	-4.771
ADGRB3	-3.175
ADGRD1	-4.406
ADGRD2	-4.755
ADGRE1	-9.612
ADGRE2	-2.106
ADGRE3	-8.806
ADGRE5	-3.287
ADGRF1	-11.174
ADGRF2	-6.221
ADGRF3	-12.679
ADGRF4	-10.515
ADGRF5	-6.454
ADGRG1	-8.870
ADGRG2	-0.793
ADGRG3	-7.386
ADGRG4	-6.247
ADGRG5	-4.198
ADGRG6	-2.171
ADGRG7	-7.436
ADGRL1	-6.413
ADGRL2	-4.117
ADGRL3	-12.138
ADGRL4	-6.018
ADGRV1	-4.938
ADH1A	0.180
ADH1B	-5.978
ADH1C	-5.848
ADH4	-7.343
ADH5	-10.066
ADH6	-10.693
ADH7	-8.494
ADHFE1	-2.794
ADI1	-4.979
ADIG	-7.035
ADIPOQ	-6.859
ADIPOR1	-7.577
ADIPOR2	-5.776
ADIRF	-8.659
ADK	-5.627
ADM	-4.461
ADM2	-10.267
ADM5	-9.319
ADNP	-7.970
ADNP2	-10.126
ADO	-6.326
ADORA1	-5.459
ADORA2A	-13.467
ADORA2B	-3.753
ADORA3	-14.850
ADPGK	-5.433
ADPRH	-4.225
ADPRHL1	-6.616
ADPRHL2	-5.582
ADPRM	-8.960
ADRA1A	-9.872
ADRA1B	-8.907
ADRA1D	-7.533
ADRA2A	-3.692
ADRA2B	-8.336
ADRA2C	-6.516
ADRB1	-5.815
ADRB2	-4.930
ADRB3	-4.230
ADRM1	-3.254
ADSL	19.352
ADSS1	-4.923
ADSS2	16.252
ADTRP	-4.599
AEBP1	-5.256
AEBP2	-9.061
AEN	-4.616
AFAP1	-6.859
AFAP1L1	-6.152
AFAP1L2	-9.695
AFDN	-9.967
AFF1	-6.659
AFF2	-11.037
AFF3	-9.016
AFF4	-0.928
AFG1L	-9.615
AFG3L2	7.412
AFM	-6.319
AFMID	-2.151
AFP	-4.855
AFTPH	-10.833
AGA	-8.112
AGAP1	-8.535
AGAP2	-10.322
AGAP3	-9.626
AGAP5	-4.484
AGAP6	-3.603
AGAP9	-7.132
AGBL1	-4.649
AGBL2	-7.191
AGBL3	-1.149
AGBL4	-5.141
AGBL5	-5.851
AGER	-5.582
AGFG1	-0.100
AGFG2	-4.615
AGGF1	-7.181
AGK	-10.990
AGL	-2.155
AGMAT	-4.878
AGMO	-5.547
AGO1	-8.287
AGO2	-2.464
AGO3	-11.444
AGO4	-7.204
AGPAT1	-7.811
AGPAT2	-4.390
AGPAT3	-7.204
AGPAT4	-8.053
AGPAT5	-9.251
AGPS	-6.921
AGR2	-6.806
AGR3	-4.976
AGRN	-2.516
AGRP	-2.168
AGT	-9.079
AGTPBP1	-11.895
AGTR1	-11.977
AGTR2	-5.329
