GENE	BF
ADAMTSL4	-7.877
ADAMTSL5	-11.964
ADAP1	-16.868
ADAP2	-22.925
ADAR	-4.279
ADARB1	-27.218
ADARB2	-17.792
ADAT1	-22.635
ADAT2	-7.238
ADAT3	-15.063
ADCK1	-16.707
ADCK2	-18.669
ADCK5	-4.055
ADCY1	-13.568
ADCY10	-17.106
ADCY2	-25.444
ADCY3	-13.882
ADCY4	-17.231
ADCY5	-14.346
ADCY6	-17.134
ADCY7	-21.285
ADCY8	-25.643
ADCY9	-20.473
ADCYAP1	-15.393
ADCYAP1R1	-16.774
ADD1	-4.341
ADD2	-11.493
ADD3	-14.457
ADGB	-37.206
ADGRA1	-17.348
ADGRA2	-23.115
ADGRA3	-14.932
ADGRB1	-26.431
ADGRB2	-26.925
ADGRB3	-12.339
ADGRD1	-12.129
ADGRD2	-8.625
ADGRE1	-19.411
ADGRE2	-20.198
ADGRE3	-23.191
ADGRE5	-9.945
ADGRF1	-21.242
ADGRF2	-13.202
ADGRF3	-21.812
ADGRF4	-17.579
ADGRF5	-15.653
ADGRG1	-17.078
ADGRG2	-8.921
ADGRG3	-23.152
ADGRG4	-13.954
ADGRG5	-14.038
ADGRG6	-8.702
ADGRG7	-26.424
ADGRL1	-20.362
ADGRL2	-25.243
ADGRL3	-14.710
ADGRL4	-14.611
ADGRV1	-19.921
ADH1A	-5.280
ADH1B	-14.817
ADH1C	-18.286
ADH4	-17.822
ADH5	-26.175
ADH6	-6.251
ADH7	-24.234
ADHFE1	-9.485
ADI1	-11.120
ADIG	-13.692
ADIPOQ	-16.777
ADIPOR1	-15.196
ADIPOR2	-26.330
ADIRF	-7.814
ADK	-18.505
ADM	-11.541
ADM2	-22.209
ADM5	-25.271
ADNP	-17.997
ADNP2	-16.774
ADO	-16.328
ADORA1	-15.619
ADORA2A	-24.341
ADORA2B	-9.199
ADORA3	-27.971
ADPGK	-17.073
ADPRH	-13.813
ADPRHL1	-23.750
ADPRHL2	-18.303
ADPRM	-20.087
ADRA1A	-28.056
ADRA1B	-20.576
ADRA1D	-20.878
ADRA2A	-14.537
ADRA2B	-20.883
ADRA2C	-10.327
ADRB1	-14.552
ADRB2	-17.497
ADRB3	-14.964
ADRM1	-5.790
ADSL	59.679
ADSS1	-13.239
ADSS2	14.676
ADTRP	-14.577
AEBP1	-7.853
AEBP2	-29.916
AEN	-17.814
AFAP1	-19.613
AFAP1L1	-15.922
AFAP1L2	-17.137
AFDN	-28.307
AFF1	-12.000
AFF2	-25.141
AFF3	-25.229
AFF4	-8.686
AFG1L	-15.857
AFG3L2	21.643
AFM	-22.006
AFMID	-15.341
AFP	-18.857
AFTPH	-20.351
AGA	-23.883
AGAP1	-19.273
AGAP2	-16.824
AGAP3	-22.019
AGAP5	-7.389
AGAP6	-12.323
AGAP9	-17.489
AGBL1	-13.460
AGBL2	-19.394
AGBL3	-11.923
AGBL4	-18.444
AGBL5	-14.824
AGER	-11.478
AGFG1	-8.661
AGFG2	-8.858
AGGF1	-19.360
AGK	-20.496
AGL	-12.713
AGMAT	-11.157
AGMO	-4.467
AGO1	-24.635
AGO2	-15.939
AGO3	-24.577
AGO4	-20.790
AGPAT1	-23.936
AGPAT2	-3.720
AGPAT3	-20.253
AGPAT4	-15.996
AGPAT5	-22.602
AGPS	-14.627
AGR2	-14.624
AGR3	-18.410
AGRN	-11.113
AGRP	-17.516
AGT	-11.562
AGTPBP1	-25.748
AGTR1	-27.853
AGTR2	-22.296
AGTRAP	-10.295
AGXT	-19.028
AGXT2	-25.281
AHCTF1	2.388
AHCY	33.284
AHCYL1	-9.858
AHCYL2	-5.117
AHDC1	-16.845
AHI1	-18.193
AHNAK	-14.031
AHNAK2	-14.615
AHR	6.837
AHRR	-25.818
AHSA1	-14.581
AHSG	-9.756
AHSP	-23.286
AICDA	-15.112
AIDA	-20.466
AIF1	-20.669
AIF1L	-5.830
AIFM1	39.396
AIFM2	-21.020
AIFM3	-13.111
AIG1	-18.418
AIM2	-22.668
AIMP1	-29.950
AIMP2	-21.073
AIP	-21.929
AIPL1	-19.951
AIRE	-17.419
AJAP1	-21.967
AJM1	-11.342
AJUBA	-8.305
AK1	-17.947
AK2	-31.133
AK3	-23.576
AK4	-21.690
AK5	-25.564
AK6	65.953
AK7	-18.823
AK8	-27.820
AK9	-6.080
AKAIN1	-21.089
AKAP1	-12.894
AKAP10	-12.101
AKAP11	-18.680
AKAP12	-14.800
AKAP13	-17.802
AKAP14	-13.841
AKAP17A	-20.133
AKAP2	-16.198
