SEC61A2,-0.00305834
FGFBP3,-0.00080404
PPM1N,-0.001378759
ZNF717,-0.001667974
TFE3,-0.002777774
RFPL1,-0.000952357
KRT3,-0.00142794
PHLPP2,-0.002630473
URB2,-0.002297508
MGAT3,-0.001296072
AGBL1,-0.00254414
TMEM175,-0.000871262
CSF3R,-0.001699053
LY96,-0.003513536
FAAH,-0.002024721
ADH6,-0.000828706
ADGRG3,-0.000901164
MED6,-0.001271292
PET100,-0.003703822
SLC35D1,-0.001893245
SERPINF1,-0.001636647
TRAF4,-0.001130905
ZNF142,-0.001194032
DDX43,-0.000485543
PLXNA3,-0.000831325
NME3,-0.001506207
RFC2,-0.000619167
FBXO42,-0.0032929
SPANXN2,-0.002946395
MAP3K21,-0.005438806
THEG,-0.001383925
NCBP2L,-0.005897569
GOLGA8A,-0.000906054
STAG3,-0.001167735
TMEM127,-0.000502637
KRTAP8-1,-0.001182984
ZNF444,-0.001508144
C1orf122,-0.000444014
TRPC4,-0.002299542
DTX3L,-0.002130794
NOX1,-0.001435531
TOGARAM2,-0.001007551
RWDD4,-0.002451019
ITPRID2,-0.001325035
UBE2K,-0.002154154
TMEM214,-0.005300211
CHRM4,-0.000570522
USP44,-0.009715985
METAP1,-0.001106724
TUBA3E,-0.000971023
KCNQ4,-0.001703966
C16orf86,-0.001201211
TSSK3,-0.001924819
ITGAM,-0.001684822
HTN3,-0.000617499
BEST3,-0.000455471
SERPINA4,-0.001506232
MAP2K7,-0.000622047
SENP7,-0.002687485
RBFA,-0.001122143
ATF6B,-0.001621233
IL36G,-0.001252959
SLC30A2,-0.002613886
PDLIM1,-0.000662487
SRGAP2,-0.002255273
NFKB2,-0.000787406
RHOBTB2,-0.002830957
ZBTB8OS,-0.001213724
SGCE,-0.000835268
B4GALT3,-0.001039296
MSANTD2,-0.001207447
SHISA8,-0.0011243
OXLD1,-0.003685357
MTMR2,-0.00214421
CX3CR1,-0.001048557
C15orf39,-0.004773438
TUBB2B,-0.000925655
TMEM88,-0.000774761
TFF2,-0.001222256
TNFRSF11A,-0.001810782
MANF,-0.001607715
RCE1,-0.000996321
CCDC174,-0.003560104
TMEM44,-0.002254945
FAM181A,-0.000708425
PAQR3,-0.000952193
GK2,-0.001289197
CERS2,-0.000724117
CHIC1,-0.016860936
TEX13B,-0.003326591
AMOTL1,-0.00043907
TSEN34,-0.002283544
HELQ,-0.003214795
SLC38A8,-0.000515301
YIPF2,-0.000893321
LILRA2,-0.004683355
TTK,-0.004383395
CHRDL2,-0.000567808
GRAMD1A,-0.000710266
HFM1,-0.001469123
ZNF215,-0.000693121
RALGAPB,-0.003617739
ZNF883,-0.002068629
NIPBL,-0.001989251
DDAH2,-0.004412509
HELLS,-0.001172037
SSX4B,-0.001902554
SMYD1,-0.000623093
FARP2,-0.000786137
HLA-DPB1,-0.001551004
H3C11,-0.002522366
S100PBP,-0.001129595
EHF,-0.000632609
PYHIN1,-0.000369737
RPL12,-0.00140196
GPX4,-0.000321633
PAX7,-0.001846277
HOXD3,-0.004354695
LRRN4,-0.001327901
ZNF573,-0.001824708
HLX,-0.000595386
MDM2,-0.002756715
UPRT,-0.00152429
MED9,-0.000668268
CHMP1A,-0.00061569
SCGB1C1,-0.000526737
TMEM244,-0.000617756
WDR93,-0.000547603
