CTC1	-0.3401867270587001
MED23	-0.3420733036835899
CRYBB1	-0.39067889507262055
GALNT10	-0.41150846866966934
RFX5	-0.4628727353162002
GATAD2A	-0.4754751175097541
ADAM11	-0.4773497927697845
METTL5	-0.4806067185685451
MTERF3	-0.48634172736892584
ZNF730	-0.49676581149264887
OR2L8	-0.503831430343044
SLFNL1	-0.5124395837127982
ICMT	-0.5175980762045016
ZNF217	-0.5180117685670513
XPO6	-0.5188031468989621
COG4	-0.5325749186933796
PSMD9	-0.5348240137834366
EPC2	-0.5475307087127232
TADA1	-0.5483249293087431
TRPS1	-0.5626106350277655
RAF1	-0.5670971702821046
MRPL22	-0.5674819701263749
MAGED4	-0.5700098798250484
SLC6A9	-0.5746149227063937
H2BC21	-0.5775014768478243
FH	-0.5978814108345153
HSF5	-0.5984140314134423
ZSWIM6	-0.5998740778424014
CCDC153	-0.6062849639045191
SSX2IP	-0.6123740202372654
PDIK1L	-0.6209829917847807
EIF3L	-0.6270518368267346
CDKN2B	-0.6323558236681361
IPPK	-0.6351741076114215
OR4F17	-0.6409465981536439
NRDC	-0.6415623869948444
TAF4	-0.6473715739596921
RAD51B	-0.6740789333051801
ELAVL1	-0.6799834001918462
MRPS2	-0.6902229540148693
KDELR2	-0.6958394453306804
YBEY	-0.6974893221435859
DNAAF5	-0.7010126124484087
H4C3	-0.704851952664605
AOC3	-0.7109398129463274
ANKRD17	-0.7196298103790072
TMEM191B	-0.7276060282187373
CDKN2AIP	-0.7330904840447245
PRR14L	-0.7351721681358255
CEP152	-0.7433668295801523
DYRK1A	-0.7657997292899514
MRPL13	-0.7704379593013574
IMMT	-0.7909796033295137
H4C11	-0.7910953935548802
AMY1B	-0.7972894066508339
SEC62	-0.8160361001057576
CCL27	-0.8179061193100162
TCTE3	-0.819855794198129
REST	-0.8277033675498395
IGF2BP1	-0.8278450470225078
ZBTB48	-0.8280429507508658
FBXO38	-0.8393263219606542
GRXCR1	-0.8408274547137994
TMEM53	-0.842103158135763
TRIM49D1	-0.8526702755041924
YIF1A	-0.8639072340197129
FGFR2	-0.8648270531166671
FGF5	-0.8700405245252194
TEKT2	-0.8700856130201391
RER1	-0.8877374236241123
CEP135	-0.9216908018016374
FASTKD5	-0.9248755603788613
SLC33A1	-0.9295667550783312
UBE2H	-0.9322784459028873
ZFAND6	-0.9772471549983635
FAM210A	-0.9811647938405212
IL23A	-0.9889473302748764
SERPINA12	-0.9969458984966535
GPR132	-1.0116987837171487
PPIH	-1.0244000471290104
ZNF706	-1.0430945875019222
BCS1L	-1.0566276583989884
MAP2K7	-1.0582779492295562
MFAP4	-1.0707499585756435
CSNK2A3	-1.0711590868863463
H2BC18	-1.0729228612724486
ZEB2	-1.07898089256737
H1-5	-1.083634546379618
ZC3H3	-1.0840694653619884
THADA	-1.0870898950717418
HNRNPA2B1	-1.0978841372722548
DMTF1	-1.1714227364551597
KDM3B	-1.1801134699192386
MTAP	-1.1815440980932048
POLE4	-1.1993642200202561
PHF19	-1.2005953869708494
EIF3K	-1.2136233136039951
TNFAIP6	-1.2141689855968432
SLC9A3R2	-1.2764206451320144
TCAIM	-1.2952298289670858
OR2T11	-1.3139679693428463
PLCZ1	-1.3642965083762961
RNFT1	-1.3899121524345344
KDSR	-1.3901389519670264
POLE3	-1.4156240260265303
TRNAU1AP	-1.5276041618534033
WAC	-1.5333003679984487
CFHR5	-1.5901554716003314
PAPOLA	-1.8155852200853406
PCGF2	-2.13714469449879
