Gene	common_essential	BF_diff	BF_group	Beta_diff	Beta_group	Diff_diff	Group	Specific_Essential_Group	Rank	abs_diff_rank	Label
A1BG	FALSE	0.407756095163504	None	-0.0793071755824116	None	0.4870632707459156	None	None	9226	10000	
A1CF	FALSE	0.5799295852889401	None	-0.2569712955586081	None	0.8369008808475482	None	None	6217	10000	
A2M	FALSE	0.8701546488223738	None	-0.4040300046097431	None	1.2741846534321168	None	None	3173	10000	
A2ML1	FALSE	1.3633536291527313	None	-0.869665034883981	K27M-specific Essential	2.2330186640367122	None	None	413	10000	
A3GALT2	FALSE	0.7106631932884909	None	-0.18206294567997286	None	0.8927261389684638	None	None	5748	10000	
A4GALT	FALSE	-0.2390705198337584	None	0.22873970658557313	None	-0.46781022641933157	None	None	16167	10000	
A4GNT	FALSE	0.5311439027885871	None	-0.2782567325579731	None	0.8094006353465603	None	None	6450	10000	
AAAS	FALSE	0.7469166893041501	None	-0.7997484331803986	None	1.5466651224845487	None	None	1896	10000	
AACS	FALSE	0.8738061465965729	None	-0.47284043673650344	None	1.3466465833330763	None	None	2795	10000	
AADAC	FALSE	0.6230769583998583	None	-0.15065467696734938	None	0.7737316353672077	None	None	6724	10000	
AADACL2	FALSE	0.11573704381219496	None	0.414407773132753	None	-0.29867072932055805	None	None	15266	10000	
AADACL3	FALSE	0.12742504828378293	None	0.012140098903818682	None	0.11528494937996425	None	None	12329	10000	
AADACL4	FALSE	0.07763904325217036	None	0.3146824876026925	None	-0.23704344435052216	None	None	14891	10000	
AADAT	FALSE	0.6923671021992823	None	-0.34027006944728316	None	1.0326371716465654	None	None	4689	10000	
AAGAB	FALSE	-0.21905111965614	None	0.25528612337511836	None	-0.47433724303125835	None	None	16200	10000	
AAK1	FALSE	0.6523513258262564	None	-0.3185907359325646	None	0.970942061758821	None	None	5149	10000	
AAMDC	FALSE	-0.07230482654972392	None	0.3741866471876538	None	-0.44649147373737774	None	None	16073	10000	
AAMP	TRUE	0.3806639556888726	Common Essential	-0.1581082918659325	Common Essential	0.5387722475548051	Common Essential	None	8754	10000	
AANAT	FALSE	0.011261576137145513	None	-0.18305537645446035	None	0.19431695259160586	None	None	11712	10000	
AAR2	FALSE	-0.3718179918883262	None	0.5080706732637605	None	-0.8798886651520867	None	None	17588	10000	
AARD	FALSE	-0.11549981497764283	None	0.08144401933866662	None	-0.19694383431630946	None	None	14641	10000	
AARS1	TRUE	-0.8164226348811829	Common Essential	0.18902665122193918	Common Essential	-1.0054492861031221	Common Essential	None	17849	10000	
AARS2	TRUE	0.31848623773664697	Common Essential	-0.9170068536401934	Common Essential	1.2354930913768403	Common Essential	None	3394	10000	
AARSD1	FALSE	0.1365350337761605	None	0.3884239372082412	None	-0.2518889034320807	None	None	14973	10000	
AASDH	FALSE	0.07389156238329797	None	-0.5325011891709324	None	0.6063927515542303	None	None	8169	10000	
AASDHPPT	FALSE	-0.008809641965329407	None	-0.11101075174779396	None	0.10220110978246455	None	None	12450	10000	
AASS	FALSE	0.5430320223685855	None	-0.24009864917182688	None	0.7831306715404124	None	None	6653	10000	
AATF	TRUE	0.17929354901254857	Common Essential	0.05310603872229319	Common Essential	0.12618751029025538	Common Essential	None	12237	10000	
AATK	FALSE	0.33877145039677803	None	-0.009547570742817868	None	0.3483190211395959	None	None	10408	10000	
ABAT	FALSE	0.40381810702466625	None	0.03366650164859032	None	0.37015160537607594	None	None	10234	10000	
