POP5
YARS2
PCNA
MED21
SF3B5
ZBTB11
MASTL
RSL24D1
NUS1
PPCS
PGAM1
DHX8
DDX23
HSPE1
SRSF1
EIF1AX
MED30
INTS9
MED11
PGK1
MRPL57
DUT
FTSJ3
COA5
GINS2
PRIM1
EEF2
SPC24
UTP23
RBMX
RPL31
SNAPC1
LSM6
WDR74
KIN
PSMD14
PSMB3
HSCB
VHL
TRNT1
POLR2D
TMED10
BUB3
PPIL2
NOP16
DIS3
MRPL53
RBM14
HSPA5
FNTB
ANAPC4
ALG2
EPRS1
RPL12
RPN1
LSM8
IARS2
SRSF2
RPL10A
PSMD7
TIMM10
ACACA
MAD2L1
RPS27A
EIF6
ELOB
MRPS16
PLRG1
ABT1
SPCS3
UBA52
RPLP2
NHP2
POLR3K
SDE2
UTP20
TSR2
RPL18A
RPL39
RPL11
SRSF3
RPL13
RACK1
NFS1
MED8
DHFR
HEATR1
RPL32
TRMT112
RPS19
SNU13
SMU1
MCM4
RPL30
CDC7
MRPL3
USP39
EIF2B4
MCM3
ABCB7
