GENE	BF
ADAMTSL4	4.466
ADAMTSL5	-9.180
ADAP1	-14.850
ADAP2	-15.564
ADAR	-4.682
ADARB1	-15.948
ADARB2	-11.392
ADAT1	-11.306
ADAT2	0.044
ADAT3	-9.317
ADCK1	-4.352
ADCK2	-15.001
ADCK5	-9.137
ADCY1	-9.890
ADCY10	-11.073
ADCY2	-15.576
ADCY3	-4.406
ADCY4	-9.239
ADCY5	-4.745
ADCY6	-8.429
ADCY7	-13.177
ADCY8	-17.777
ADCY9	-11.913
ADCYAP1	-14.921
ADCYAP1R1	-7.873
ADD1	-8.376
ADD2	-2.266
ADD3	-12.568
ADGB	-18.911
ADGRA1	-15.400
ADGRA2	-9.165
ADGRA3	-10.019
ADGRB1	-4.033
ADGRB2	-22.137
ADGRB3	-9.143
ADGRD1	-5.844
ADGRD2	-5.449
ADGRE1	-13.665
ADGRE2	-16.648
ADGRE3	-14.790
ADGRE5	-11.239
ADGRF1	-8.524
ADGRF2	-8.085
ADGRF3	-10.685
ADGRF4	-12.887
ADGRF5	-9.389
ADGRG1	-8.457
ADGRG2	-10.723
ADGRG3	-14.827
ADGRG4	-14.682
ADGRG5	-15.119
ADGRG6	-9.517
ADGRG7	-14.845
ADGRL1	-7.797
ADGRL2	-17.032
ADGRL3	-8.976
ADGRL4	-10.680
ADGRV1	-15.727
ADH1A	-9.454
ADH1B	-12.274
ADH1C	-11.930
ADH4	-13.975
ADH5	-14.674
ADH6	-3.070
ADH7	-6.827
ADHFE1	-7.748
ADI1	-9.743
ADIG	-3.871
ADIPOQ	-8.814
ADIPOR1	-9.345
ADIPOR2	-11.887
ADIRF	-4.592
ADK	-12.041
ADM	-12.087
ADM2	-14.078
ADM5	-13.064
ADNP	-16.861
ADNP2	-12.225
ADO	-8.196
ADORA1	-9.041
ADORA2A	-9.040
ADORA2B	-6.830
ADORA3	-13.487
ADPGK	-8.763
ADPRH	-4.440
ADPRHL1	-13.030
ADPRHL2	-12.563
ADPRM	-9.218
