GENE	BF
ADAMTSL3	-4.934
ADAMTSL4	-9.791
ADAMTSL5	-2.802
ADAP1	-6.196
ADAP2	-9.178
ADAR	-0.914
ADARB1	-10.886
ADARB2	-6.149
ADAT1	-4.920
ADAT2	-6.904
ADAT3	-5.743
ADCK1	-8.098
ADCK2	-5.548
ADCK5	-2.013
ADCY1	-2.981
ADCY10	-6.969
ADCY2	-7.911
ADCY3	-6.704
ADCY4	-8.280
ADCY5	-10.327
ADCY6	-8.659
ADCY7	-7.375
ADCY8	-9.659
ADCY9	-7.128
ADCYAP1	-5.463
ADCYAP1R1	-8.731
ADD1	-3.011
ADD2	-6.927
ADD3	-5.322
ADGB	-16.353
ADGRA1	-0.687
ADGRA2	-7.520
ADGRA3	-1.704
ADGRB1	-13.115
ADGRB2	-4.666
ADGRB3	-3.005
ADGRD1	-4.628
ADGRD2	-5.034
ADGRE1	-9.499
ADGRE2	-2.055
ADGRE3	-9.620
ADGRE5	-3.245
ADGRF1	-10.216
ADGRF2	-6.672
ADGRF3	-13.823
ADGRF4	-11.653
ADGRF5	-7.116
ADGRG1	-8.893
ADGRG2	-0.612
ADGRG3	-7.810
ADGRG4	-6.312
ADGRG5	-4.193
ADGRG6	-2.158
ADGRG7	-7.427
ADGRL1	-6.650
ADGRL2	-4.141
ADGRL3	-13.096
ADGRL4	-6.048
ADGRV1	-4.750
ADH1A	0.084
ADH1B	-5.565
ADH1C	-5.883
ADH4	-6.836
ADH5	-9.995
ADH6	-9.710
ADH7	-8.622
ADHFE1	-2.649
ADI1	-4.879
ADIG	-7.111
ADIPOQ	-7.482
ADIPOR1	-7.764
ADIPOR2	-5.695
ADIRF	-7.894
ADK	-5.847
ADM	-4.384
ADM2	-10.144
ADM5	-9.959
ADNP	-7.472
ADNP2	-11.035
ADO	-6.837
ADORA1	-5.486
ADORA2A	-13.617
ADORA2B	-3.946
ADORA3	-13.424
ADPGK	-5.664
ADPRH	-4.653
ADPRHL1	-6.602
ADPRHL2	-5.784
ADPRM	-9.752
ADRA1A	-10.862
ADRA1B	-9.628
ADRA1D	-7.712
ADRA2A	-3.916
ADRA2B	-9.136
ADRA2C	-6.091
ADRB1	-5.476
ADRB2	-4.728
ADRB3	-4.308
ADRM1	-3.176
ADSL	21.302
ADSS1	-5.246
ADSS2	14.053
ADTRP	-4.846
AEBP1	-5.334
AEBP2	-10.187
AEN	-4.619
AFAP1	-6.817
AFAP1L1	-6.135
AFAP1L2	-9.702
AFDN	-9.925
AFF1	-6.677
AFF2	-10.962
AFF3	-8.421
AFF4	-0.858
AFG1L	-9.522
AFG3L2	8.231
AFM	-6.272
AFMID	-2.106
AFP	-4.842
AFTPH	-10.946
AGA	-7.589
AGAP1	-7.675
AGAP2	-11.367
AGAP3	-8.830
AGAP5	-4.652
AGAP6	-3.304
AGAP9	-7.061
AGBL1	-4.699
AGBL2	-7.163
AGBL3	-1.321
AGBL4	-5.691
AGBL5	-5.917
AGER	-5.418
AGFG1	-0.143
AGFG2	-4.837
AGGF1	-7.944
AGK	-11.130
AGL	-2.302
AGMAT	-5.012
AGMO	-6.036
AGO1	-8.216
AGO2	-2.572
AGO3	-11.371
AGO4	-7.095
AGPAT1	-8.781
AGPAT2	-4.206
AGPAT3	-7.755
AGPAT4	-8.049
AGPAT5	-9.180
AGPS	-7.013
AGR2	-7.288
AGR3	-5.027
AGRN	-2.598
AGRP	-2.081
AGT	-8.858
AGTPBP1	-13.388
AGTR1	-12.251
AGTR2	-5.769
AGTRAP	-6.329
AGXT	-7.562
AGXT2	-11.792
AHCTF1	4.005
AHCY	6.362
AHCYL1	-3.963
AHCYL2	0.440
AHDC1	-6.289
AHI1	-9.348
AHNAK	-3.992
AHNAK2	-4.612
AHR	-8.642
AHRR	-6.941
AHSA1	-5.886
AHSG	-5.539
AHSP	-10.684
AICDA	-3.219
AIDA	-8.744
AIF1	-9.227
AIF1L	-2.092
AIFM1	5.078
AIFM2	-8.232
AIFM3	-7.563
AIG1	-6.423
AIM2	-6.202
AIMP1	-10.306
AIMP2	-9.983
AIP	-9.751
AIPL1	-6.909
AIRE	-8.179
AJAP1	-6.037
AJM1	-5.453
AJUBA	-5.503
AK1	-7.410
AK2	-8.384
AK3	-8.400
AK4	-4.303
AK5	-9.017
AK6	31.855
AK7	-7.901
AK8	-7.557
AK9	-2.290
AKAIN1	-7.502
AKAP1	-4.277
AKAP10	-3.519
AKAP11	-5.500
AKAP12	-4.234
AKAP13	-5.824
AKAP14	-3.409
AKAP17A	-7.871
AKAP2	-5.377
AKAP3	-4.051
AKAP4	-13.118
AKAP5	-8.638
AKAP6	-7.376
AKAP7	-4.312
AKAP8	-5.959
AKAP8L	-12.336
AKAP9	-2.343
AKIP1	-0.421
AKIRIN1	-5.862
AKIRIN2	1.129
AKNA	-5.204
AKNAD1	-7.389
AKR1A1	-9.299
AKR1B1	-5.129
AKR1B10	-7.375
AKR1B15	-10.018
AKR1C1	-12.114
AKR1C2	-8.265
AKR1C3	-5.660
AKR1C4	-3.331
AKR1D1	-6.167
AKR1E2	-8.127
AKR7A2	-6.024
AKR7A3	-6.246
AKT1	0.707
AKT1S1	-6.851
AKT2	-1.545
AKT3	-8.331
AKTIP	-9.765
ALAD	-5.535
ALAS1	0.011
ALAS2	-4.974
ALB	-2.994
ALCAM	-9.856
ALDH16A1	-8.169
ALDH18A1	-6.606
ALDH1A1	-10.114
ALDH1A2	-11.194
ALDH1A3	-4.312
ALDH1B1	-6.193
ALDH1L1	-7.992
ALDH1L2	-6.927
ALDH2	-8.638
ALDH3A1	-6.879
ALDH3A2	-4.291
ALDH3B1	-4.437
ALDH3B2	-5.428
ALDH4A1	-5.952
ALDH5A1	-6.272
ALDH6A1	-2.935
ALDH7A1	-3.697
ALDH8A1	-12.198
ALDH9A1	-5.523
ALDOA	-0.349
ALDOB	-7.813
ALDOC	-8.179
ALG1	3.535
ALG10	-13.119
ALG10B	-9.509
ALG11	-1.730
ALG12	-2.017
ALG13	8.175
ALG14	20.492
ALG1L	-2.595
ALG1L2	-4.156
ALG2	30.696
ALG3	-9.502
ALG5	-0.268
ALG6	-8.212
ALG8	-6.309
ALG9	-5.248
ALK	-8.209
ALKAL1	-7.390
ALKAL2	-9.962
ALKBH1	-2.088
ALKBH2	-6.080
ALKBH3	-7.694
ALKBH4	-5.722
ALKBH5	-3.950
ALKBH6	-7.505
ALKBH7	-1.313
ALKBH8	-6.833
ALLC	-4.709
ALMS1	-6.330
ALOX12	-7.079
ALOX12B	-3.143
ALOX15	-5.173
ALOX15B	-9.706
ALOX5	-6.579
ALOX5AP	-11.795
ALOXE3	-5.962
ALPG	-5.033
ALPI	-9.037
ALPK1	-10.379
ALPK2	-8.601
ALPK3	-3.591
ALPL	-5.729
ALPP	-7.397
ALS2	-9.872
ALS2CL	-8.110
ALX1	-8.854
ALX3	-5.113
ALX4	-4.819
ALYREF	12.567
AMACR	-6.054
AMBN	-7.166
AMBP	-6.776
AMBRA1	-11.149
AMD1	8.276
AMDHD1	-9.765
AMDHD2	-3.589
AMELX	-5.826
AMELY	-5.213
AMER1	-9.060
AMER2	-8.067
AMER3	-6.989
AMFR	-9.572
AMH	-4.150
AMHR2	-9.659
AMIGO1	-4.717
AMIGO2	-6.272
AMIGO3	-8.511
AMMECR1	-6.475
AMMECR1L	-9.375
AMN	-3.898
AMN1	-9.278
AMOT	-10.612
AMOTL1	-1.822
AMOTL2	-12.151
AMPD1	-6.723
AMPD2	-10.325
AMPD3	-6.104
AMPH	-4.608
AMT	-2.767
AMTN	-6.227
AMY1B	0.215
AMY2A	-6.614
AMY2B	-7.465
AMZ1	-4.722
AMZ2	-3.281
ANAPC1	2.948
ANAPC10	13.110
ANAPC11	5.334
ANAPC13	-9.485
ANAPC15	-8.196
ANAPC16	-0.421
ANAPC2	5.093
ANAPC4	42.169
ANAPC5	6.216
ANAPC7	-7.547
ANG	-1.358
ANGEL1	-6.396
ANGEL2	-2.127
ANGPT1	-7.294
ANGPT2	-9.830
ANGPT4	-9.932
ANGPTL1	-5.237
ANGPTL2	-8.924
